Cities,Processes,Run,Comp_Time_ms
4,1,1,.001000
4,1,2,0
4,1,3,.003000
4,1,4,.001000
4,1,5,0
4,2,1,0
4,2,2,0
4,2,3,.001000
4,2,4,.001000
4,2,5,.001000
4,4,1,0
4,4,2,.001000
4,4,3,.001000
4,4,4,.001000
4,4,5,0
4,8,1,
4,8,2,
4,8,3,
4,8,4,
4,8,5,
5,1,1,.002000
5,1,2,.001000
5,1,3,.001000
5,1,4,.002000
5,1,5,.002000
5,2,1,.002000
5,2,2,.001000
5,2,3,.001000
5,2,4,.001000
5,2,5,.001000
5,4,1,.001000
5,4,2,.001000
5,4,3,.001000
5,4,4,.001000
5,4,5,.001000
5,8,1,
5,8,2,
5,8,3,
5,8,4,
5,8,5,
6,1,1,.004000
6,1,2,.004000
6,1,3,.011000
6,1,4,.004000
6,1,5,.005000
6,2,1,.003000
6,2,2,.003000
6,2,3,.003000
6,2,4,.004000
6,2,5,.183000
6,4,1,.003000
6,4,2,.002000
6,4,3,.002000
6,4,4,.002000
6,4,5,.003000
6,8,1,
6,8,2,
6,8,3,
6,8,4,
6,8,5,
7,1,1,.016000
7,1,2,.015000
7,1,3,.025000
7,1,4,.017000
7,1,5,.015000
7,2,1,.014000
7,2,2,.012000
7,2,3,.012000
7,2,4,.014000
7,2,5,.010000
7,4,1,.117000
7,4,2,.006000
7,4,3,.007000
7,4,4,.009000
7,4,5,.009000
7,8,1,
7,8,2,
7,8,3,
7,8,4,
7,8,5,
8,1,1,.066000
8,1,2,.074000
8,1,3,.087000
8,1,4,.052000
8,1,5,.060000
8,2,1,.042000
8,2,2,.063000
8,2,3,.053000
8,2,4,.043000
8,2,5,.046000
8,4,1,.034000
8,4,2,.033000
8,4,3,.043000
8,4,4,.050000
8,4,5,.030000
8,8,1,
8,8,2,
8,8,3,
8,8,4,
8,8,5,
9,1,1,.271000
9,1,2,.255000
9,1,3,.364000
9,1,4,.420000
9,1,5,.251000
9,2,1,.165000
9,2,2,.159000
9,2,3,.183000
9,2,4,.292000
9,2,5,.238000
9,4,1,.101000
9,4,2,.110000
9,4,3,.118000
9,4,4,.111000
9,4,5,.164000
9,8,1,
9,8,2,
9,8,3,
9,8,4,
9,8,5,
10,1,1,1.516000
10,1,2,1.477000
10,1,3,2.277000
10,1,4,1.265000
10,1,5,1.984000
10,2,1,1.104000
10,2,2,1.150000
10,2,3,1.112000
10,2,4,1.195000
10,2,5,1.397000
10,4,1,.910000
10,4,2,.737000
10,4,3,.773000
10,4,4,.624000
10,4,5,.753000
10,8,1,
10,8,2,
10,8,3,
10,8,4,
10,8,5,
